ACTION_TAKEN,CALL_DATE,CALL_FROM,CALL_TIME,Category,Message search terms,Sub Category,Sum of Incidents,Sum of Vehicle Delay Time,Measure Param,DIRECTION,DISPATCHER_ID,DIVISION,GEOGRAPHIC_LOCATION_MODIFIED,LINE (group) 1,LINE (group),LINE,LINE_DELAY,LINE_DELAY_TIME_END,LINE_DELAY_TIME_START,Location,LOCATION_ORIGINAL,Incident Location,Message,NO_RETURN,Number of Records,OPERATOR_ID,RUN,RUN_LINE,SENT_TO,STREET_A,STREET_B,STREET_C,STREET_D,Subcategory,Security Incident Type,TAG_ID,TIMEOUT,Date,TIME_OF_INCIDENT,VEHICLE,VEHICLE_DELAY_TIME_END,VEHICLE_DELAY_TIME_START,VEHICLE_NEW,VEHICLE_NEW_NUM_1,VEHICLE_NEW_NUM_2,VEH_DELAY,VIA,Veh_Delay_Time (copy),Vehicle Delay Minutes per Incident
"SENIOR STAFF/SFETY*, LSGP*, ADGP*, A ANDREWS*, D PUGLISI*, TSOC*, VIDEO PULLED,  CLAIMS # 06-A-45*, SFPD # 3-B-1-D, MEDIC # 83, TRANSPORTED CITIZEN TO SFGH HOSPITAL, INSP J JIANG,  POWELL AGENT, 4-C-94 CLEARED ",6/27/2013,OPERATOR,17:10,Passenger Incident,0,Intoxicated Passenger,1,5,1,    IB,79,GR,POWELL STATION,KT,KT,KT,17:10 - 17:15,6/27/2013 17:15,6/27/2013 17:10,POWELL STATION,,POWELL STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  FELL INTO TRACKWAY,N,1,1573,72,72 / KT,,,,,,Intoxicated Passenger,Other,1296608,0:00,6/27/2013,6/27/2013 17:10,1468,6/27/2013 17:15,6/27/2013 17:10,,,,17:10 - 17:15,R,5,5
SFPD 3B15E CLEARED. NO ARREST.,6/25/2013,OPERATOR,3:39,Passenger Incident,0,Intoxicated Passenger,1,24,1,    OB,38,PO,FERRY TERMINAL,14,14,14,00:00 - 00:00,,,FERRY TERMINAL,,FERRY TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2355,475,475 / 14,,,,,,Intoxicated Passenger,Other,1296042,0:00,6/25/2013,6/25/2013 3:39,5453,6/25/2013 4:03,6/25/2013 3:39,,,,03:39 - 04:03,R,24,24
INSP C. WHITE RESP,6/22/2013,OPERATOR,23:05,Passenger Incident,0,Intoxicated Passenger,1,8,1,    IB,36,PR,CABRILLO ##### LA PLAYA,31,31,31,00:00 - 00:00,,,CABRILLO & LA PLAYA,,CABRILLO & LA PLAYA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3942,170,170 / 31,,CABRILLO,LA PLAYA,%CABRILLO%,%LA%PLAYA%,Intoxicated Passenger,Other,1295735,0:00,6/22/2013,6/22/2013 23:05,5505,6/23/2013 23:13,6/23/2013 23:05,,,,23:05 - 23:13,R,8,8
SFPD; SFFD MEDIC 94; TRANSPORTED PASSENGER TO DETOX CENTER,6/22/2013,OPERATOR,19:18,Passenger Incident,0,Intoxicated Passenger,1,27,1,    OB,18,PO,19TH##### CASTRO,24,24,24,00:00 - 00:00,,,19TH STREET & CASTRO,,19TH STREET & CASTRO,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3032,421,421 / 24,,19TH,CASTRO,%19TH%,%CASTRO%,Intoxicated Passenger,Other,1295721,0:00,6/22/2013,6/22/2013 19:18,5414,6/22/2013 19:45,6/22/2013 19:18,,,,19:18 - 19:45,R,27,27
MEDIC 93 TRANS PASSENGER TO ST LUKES HOSPITAL. INSP K JOMOC RESP.,6/22/2013,OPERATOR,12:33,Passenger Incident,0,Intoxicated Passenger,1,35,1,    IB,33,KI,24TH##### MISSION,12,12,12,00:00 - 00:00,,,24TH ST & MISSION,,24TH ST & MISSION ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3611,629,629 / 12,,24TH,MISSION,%24TH%,%MISSION%,Intoxicated Passenger,Other,1295604,0:00,6/22/2013,6/22/2013 12:33,8010,6/22/2013 13:08,6/22/2013 12:33,,,,12:33 - 13:08,T,35,35
SFPD CLEARED,6/21/2013,OPERATOR,18:07,Passenger Incident,0,Intoxicated Passenger,1,42,1,    OB,36,PO,STEUART ##### MISSION,14,14,14,00:00 - 00:00,,,STEUART & MISSION,,STEUART & MISSION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4377,468,468 / 14,,STEUART,MISSION,%STEUART%,%MISSION%,Intoxicated Passenger,Other,1295488,0:00,6/21/2013,6/21/2013 18:07,7122,6/21/2013 18:50,6/21/2013 18:08,,,,18:08 - 18:50,R,42,42
"#INSP S WONG CLEARED, ENG 44RESP , MEDIC #83 TRANSPORTED TO SFGH",6/20/2013,OPERATOR,16:15,Passenger Incident,0,Intoxicated Passenger,1,50,1,    OB,11,WO,SUNNYDALE ##### CORA,9,9,9,00:00 - 00:00,,,SUNNYDALE & CORA,,SUNNYDALE & CORA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3845,181,181 / 9,,SUNNYDALE,CORA,%SUNNYDALE%,%CORA%,Intoxicated Passenger,Other,1295272,0:00,6/20/2013,6/20/2013 16:15,8420,6/20/2013 17:05,6/20/2013 16:15,,,,16:15 - 17:05,R,50,50
SYSTEM SAFETY*.  VIDEO*.  CLAIMS 6A48*.  SFPD UNIT 3E15C RESP.  MEDIC 78 TRANSPORT TO CALPAC.  CASE # 130503518.,6/19/2013,OPERATOR,13:07,Passenger Incident,0,Intoxicated Passenger,1,16,1,    IB,12,PO,FILLMORE ##### BAY,22,22,22,00:00 - 00:00,,,FILLMORE & BAY,,FILLMORE & BAY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2968,342,342 / 22,,FILLMORE,BAY,%FILLMORE%,%BAY%,Intoxicated Passenger,Other,1295046,0:00,6/19/2013,6/19/2013 13:07,5430,6/19/2013 13:23,6/19/2013 13:07,,,,13:07 - 13:23,R,16,16
SFPD CLEARED.,6/19/2013,OPERATOR,21:29,Passenger Incident,0,Intoxicated Passenger,1,3,1,    IB,34,PR,DIVISADERO ##### CHESTNUT,30,30,30,00:00 - 00:00,,,DIVISADERO & CHESTNUT,,DIVISADERO & CHESTNUT,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3007,177,177 / 30,,DIVISADERO,CHESTNUT,%DIVISADERO%,%CHESTNUT%,Intoxicated Passenger,Other,1295109,0:00,6/19/2013,6/19/2013 21:29,5506,6/19/2013 21:32,6/19/2013 21:29,,,,21:29 - 21:32,R,3,3
INSP. E. TUCKER RESP.  OPERATOR CLEARED .  SFPD*.  ,6/19/2013,OPERATOR,19:58,Passenger Incident,0,Intoxicated Passenger,1,5,1,    OB,36,PR,4TH##### TOWNSEND,45,45,45,00:00 - 00:00,,,4TH ST & TOWNSEND,,4TH ST & TOWNSEND,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3688,130,130 / 45,,4TH,TOWNSEND,%4TH%,%TOWNSEND%,Intoxicated Passenger,Other,1295148,0:00,6/19/2013,6/19/2013 19:58,5591,6/19/2013 20:03,6/19/2013 19:58,,,,19:58 - 20:03,R,5,5
AMR 16 TRANS FEMALE PASSENGER TO DAVIES HOSPITAL. INSP S HOOKS RESP.,6/17/2013,OPERATOR,11:50,Passenger Incident,0,Intoxicated Passenger,1,30,1,    IB,30,WO,24TH##### CASTRO,48,48,48,00:00 - 00:00,,,24TH ST & CASTRO,,24TH ST & CASTRO,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1271,95,95 / 48,,24TH,CASTRO,%24TH%,%CASTRO%,Intoxicated Passenger,Other,1294629,0:00,6/17/2013,6/17/2013 11:50,8123,6/17/2013 12:20,6/17/2013 11:50,,,,11:50 - 12:20,R,30,30
"INSP A ESCOBAR, ENG 1 RESP, MED 81 RESP, AID REFUSED",6/16/2013,OPERATOR,13:56,Passenger Incident,0,Intoxicated Passenger,1,51,1,    IB,14,FL,MARKET ##### 5TH,71,71,71,00:00 - 00:00,,,MARKET & 5TH ST,,5TH ST & MARKET ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3321,503,503 / 71,,MARKET,5TH,%MARKET%,%5TH%,Intoxicated Passenger,Other,1294502,0:00,6/16/2013,6/16/2013 13:56,6231,6/16/2013 14:47,6/16/2013 13:56,,,,13:56 - 14:47,R,51,51
"INSP C. WHITE RESP
MEDIC #54 RESP TRANS TO UCSF ",6/16/2013,OPERATOR,22:07,Passenger Incident,0,Intoxicated Passenger,1,27,1,    OB,36,WO,LAWTON ##### 9TH,44,44,44,00:00 - 00:00,,,LAWTON & 9TH AVENUE,,LAWTON & 9TH AVENUE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3064,235,235 / 44,,LAWTON,9TH,%LAWTON%,%9TH%,Intoxicated Passenger,Other,1294552,0:00,6/16/2013,6/16/2013 22:07,8422,6/16/2013 22:35,6/16/2013 22:08,,,,22:08 - 22:35,R,27,27
"UNIT # 20 INSP A. VELACRUZ RESP, ENGINE #29 AND MEDIC #66 TRANSPORTED PASSENGER TO UCSF.",6/15/2013,OPERATOR,3:18,Passenger Incident,0,Intoxicated Passenger,1,22,1,,11,WO,18TH##### MINNESOTA,22,22,22,00:00 - 00:00,,,18TH STREET & MINNESOTA,,18TH STREET & MINNESOTA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3229,479,479 / 22,,18TH,MINNESOTA,%18TH%,%MINNESOTA%,Intoxicated Passenger,Other,1294353,0:00,6/15/2013,6/15/2013 3:18,8144,6/15/2013 3:40,6/15/2013 3:18,,,,03:18 - 03:40,R,22,22
"INSP.D.KINDSTEADT CLEARED.CAD # 2882,SFPD 3-I-11-E RESPOND.",6/15/2013,OPERATOR,23:12,Passenger Incident,0,Intoxicated Passenger,1,2,1,    IB,78,GR,WEST PORTAL STATION,M,M,M,23:12 - 23:14,6/15/2013 23:14,6/15/2013 23:12,WEST PORTAL STATION,,WEST PORTAL STATION,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2155,109,109 / M,,,,,,Intoxicated Passenger,Other,1294474,0:00,6/15/2013,6/15/2013 23:12,1547,6/15/2013 23:14,6/15/2013 23:12,,,,23:12 - 23:14,R,2,2
INSP T KONG CLEARED,6/15/2013,OPERATOR,19:55,Passenger Incident,0,Intoxicated Passenger,1,40,1,    IB,36,WO,20TH##### 3RD,48,48,48,00:00 - 00:00,,,20TH ST & 3RD ST,,20TH ST & 3RD ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4324,186,186 / 48,,20TH,3RD,%20TH%,%3RD%,Intoxicated Passenger,Other,1294445,0:00,6/15/2013,6/15/2013 19:55,8436,6/15/2013 20:39,6/15/2013 19:59,,,,19:59 - 20:39,R,40,40
"INSP. R. JONES #8 RESPONDED, SFPD UNIT #3T3A CLEARED",6/13/2013,OPERATOR,8:38,Passenger Incident,0,Intoxicated Passenger,1,17,1,    OB,26,WO,NORIEAGA ##### 34TH,71,71,71,00:00 - 00:00,,,NORIEAGA & 34TH AVENUE,,NORIEAGA & 34TH AVENUE,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,8274,310,310 / 71,,NORIEAGA,34TH,,,Intoxicated Passenger,Other,1294000,0:00,6/13/2013,6/13/2013 8:38,8113,6/13/2013 8:55,6/13/2013 8:38,,,,08:38 - 08:55,R,17,17
SFPD # B2A REMOVED NO ARREST INSP KWONG & 8M8*,6/12/2013,OPERATOR,10:37,Passenger Incident,0,Intoxicated Passenger,1,10,1,    OB,12,CC,POWELL ##### MARKET,60,60,60,10:37 - 10:47,6/12/2013 10:47,6/12/2013 10:37,POWELL  & MARKET,,POWELL ST & MARKET ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2718,13,13 / 60,,POWELL,MARKET,%POWELL%,%MARKET%,Intoxicated Passenger,Other,1293741,0:00,6/12/2013,6/12/2013 10:37,17,6/12/2013 10:47,6/12/2013 10:37,,,,10:37 - 10:47,R,10,10
SFPD 3B11E RESP NO ARREST,6/12/2013,OPERATOR,3:42,Passenger Incident,0,Intoxicated Passenger,1,13,1,    OB,36,PO,FERRY TERMINAL,14,14,14,00:00 - 00:00,,,FERRY TERMINAL,,FERRY TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2355,475,475 / 14,,,,,,Intoxicated Passenger,Other,1293646,0:00,6/12/2013,6/12/2013 3:42,5460,6/12/2013 3:55,6/12/2013 3:42,,,,03:42 - 03:55,R,13,13
SFPD #3G11E RESP,6/8/2013,OPERATOR,2:12,Passenger Incident,0,Intoxicated Passenger,1,21,1,    IB,36,WO,48TH##### POINT LOBOS,38,38,38,00:00 - 00:00,,,48TH AVENUE & POINT LOBOS,,48TH AVENUE & POINT LOBOS,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2417,262,262 / 38,,48TH,POINT LOBOS,%48TH%,%POINT%LOBOS%,Intoxicated Passenger,Other,1293016,0:00,6/8/2013,6/8/2013 2:12,8140,6/8/2013 2:33,6/8/2013 2:12,,,,02:12 - 02:33,R,21,21
"OPERATOR CLEARED, SFPD UNIT #3C74 RESPONDED, VIDEO*, NO ARREST",6/8/2013,OPERATOR,14:38,Passenger Incident,0,Intoxicated Passenger,1,2,1,    OB,11,KI,EVANS ##### PHELPS,19,19,19,00:00 - 00:00,,,EVANS & PHELPS ,,EVANS & PHELPS ,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4067,625,625 / 19,,EVANS,PHELPS,%EVANS%,%PHELPS%,Intoxicated Passenger,Other,1293131,0:00,6/8/2013,6/8/2013 14:38,8322,6/8/2013 14:40,6/8/2013 14:38,,,,14:38 - 14:40,R,2,2
"OPERATOR CLEARED, SFPD UNIT #I13E - CAD #3154 RESPONDED, VIDEO*, NO ARREST",6/8/2013,OPERATOR,22:18,Passenger Incident,0,Intoxicated Passenger,1,21,1,    IB,22,FL,48TH##### ORTEGA,71,71,71,00:00 - 00:00,,,48TH AVENUE & ORTEGA,,48TH AVENUE & ORTEGA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,4194,516,516 / 71,FLYNN,48TH,ORTEGA,%48TH%,%ORTEGA%,Intoxicated Passenger,Other,1293202,0:00,6/8/2013,6/8/2013 22:18,6228,6/8/2013 22:39,6/8/2013 22:18,,,,22:18 - 22:39,R,21,21
"INSP C. WHITE RESP
SFPD #3B11E RESP",6/7/2013,OPERATOR,23:02,Passenger Incident,0,Intoxicated Passenger,1,61,1,    OB,36,PO,FERRY TERMINAL,6,6,6,00:00 - 00:00,,,FERRY TERMINAL,,FERRY TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2037,463,463 / 6,,,,,,Intoxicated Passenger,Other,1293021,0:00,6/7/2013,6/7/2013 23:02,5466,6/9/2013 0:03,6/8/2013 23:02,,,,23:02 - 00:03,R,61,61
"OPERATOR CLEARED, SFPD - CAD #2543*, VIDEO*",6/7/2013,OPERATOR,18:29,Passenger Incident,0,Intoxicated Passenger,1,11,1,    OB,38,WO,19TH##### WINSTON,29,29,29,00:00 - 00:00,,,19TH AVENUE & WINSTON,,19TH AVENUE & WINSTON,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,1875,143,143 / 29,WOODS,19TH,WINSTON,%19TH%,%WINSTON%,Intoxicated Passenger,Other,1293000,0:00,6/7/2013,6/7/2013 18:29,8437,6/7/2013 18:40,6/7/2013 18:29,,,,18:29 - 18:40,R,11,11
INTOXICATED PASSENGER TRANSPORTED TO SFGH BY MEDIC 15.,6/6/2013,SECURITY,2:25,Passenger Incident,0,Intoxicated Passenger,1,,1,,77,GR,2301 SAN JOSE,NA,Other,NA,00:00 - 00:00,,,2301 SAN JOSE AVE.,,2301 SAN JOSE AVE.,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,,, / ,,,,,,Intoxicated Passenger,Other,1292652,0:00,6/6/2013,6/6/2013 2:25,1050,,6/6/2013 2:25,,,,02:25 - 00:00,R,,
"INSP A. VELACRUZ RESP
SFPD*",6/6/2013,OPERATOR,23:19,Passenger Incident,0,Intoxicated Passenger,1,25,1,    OB,36,FL,TRANSBAY TERMINAL,38,38,38,00:00 - 00:00,,,TRANSBAY TERMINAL,,TRANSBAY TERMINAL,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4098,544,544 / 38,,,,,,Intoxicated Passenger,Other,1292854,0:00,6/6/2013,6/6/2013 23:19,6251,6/7/2013 23:44,6/7/2013 23:19,,,,23:19 - 23:44,R,25,25
INSP. WHITE CLEARED.,6/6/2013,OPERATOR,2:58,Passenger Incident,0,Intoxicated Passenger,1,23,1,    IB,77,WO,19TH ##### HOLLOWAY,91,91 OWL,91,00:00 - 00:00,,,19TH AVE. & HOLLOWAY,,19TH AVE. & HOLLOWAY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,4316,249,249 / 91,,19TH,HOLLOWAY,%19TH%,%HOLLOWAY%,Intoxicated Passenger,Other,1292672,0:00,6/6/2013,6/6/2013 2:58,8198,6/6/2013 3:11,6/6/2013 2:48,,,,02:48 - 03:11,R,23,23
"INSP. A. CHAU, SFPD 3-E-70 CLEARED, KING AMERICAN AMBULANCE # 14 TRANSPORTED TO CALIFONIA PACIFIC HOSP.",6/6/2013,OPERATOR,8:49,Passenger Incident,0,Intoxicated Passenger,1,46,1,    OB,16,PR,FRANCISCO ##### DIVISADERO,30,30,30,00:00 - 00:00,,,FRANCISCO & DIVISADERO,,FRANCISCO & DIVISADERO,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1669,21,021 / 30,,FRANCISCO,DIVISADERO,%FRANCISCO%,%DIVISADERO%,Intoxicated Passenger,Other,1292711,0:00,6/6/2013,6/6/2013 8:49,5587,6/6/2013 9:35,6/6/2013 8:49,,,,08:49 - 09:35,R,46,46
"UNIT #6 INSP A. ESCOBAR*, SFPD UNIT #3B1D CLEARED PRIOR TO INSP ARRIVAL.",6/5/2013,OPERATOR,23:05,Passenger Incident,0,Intoxicated Passenger,1,11,1,    OB,11,PO,STEUART ##### MARKET,6,6,6,00:00 - 00:00,,,STEUART & MARKET,,MARKET ST & STEUART ST,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2037,463,463 / 6,,STEUART,MARKET,%STEUART%,%MARKET%,Intoxicated Passenger,Other,1292650,0:00,6/5/2013,6/5/2013 23:05,5416,6/5/2013 23:16,6/5/2013 23:05,,,,23:05 - 23:16,R,11,11
SFPD UNIT 3B11E CLEARED,6/5/2013,OPERATOR,23:09,Passenger Incident,0,Intoxicated Passenger,1,14,1,    OB,22,WO,BEALE ##### HOWARD,38,38,38,00:00 - 00:00,,,BEALE & HOWARD,,BEALE & HOWARD,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2213,542,542 / 38,,BEALE,HOWARD,%BEALE%,%HOWARD%,Intoxicated Passenger,Other,1292648,0:00,6/5/2013,6/5/2013 23:09,6418,6/5/2013 23:23,6/5/2013 23:09,,,,23:09 - 23:23,R,14,14
SFPD UNIT 3G5D CLEARED.  MEDIC  KING #15 RESP.,6/5/2013,OPERATOR,22:08,Passenger Incident,0,Intoxicated Passenger,1,30,1,    OB,22,WO,6TH##### GEARY,44,44,44,00:00 - 00:00,,,6TH AVENUE & GEARY,,6TH AVENUE & GEARY,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1314,225,225 / 44,,6TH,GEARY,%6TH%,%GEARY%,Intoxicated Passenger,Other,1292669,0:00,6/5/2013,6/5/2013 22:08,8446,6/5/2013 22:38,6/5/2013 22:08,,,,22:08 - 22:38,R,30,30
"UNIT #4 INSP S. SMITH RESP, MEDIC #79 TRANSPORTED INTOXICATED PASS TO ST. FRANCIS HOSP, SFPD UNIT#341D RESP.",6/4/2013,OPERATOR,20:21,Passenger Incident,0,Intoxicated Passenger,1,69,1,    OB,11,FL,HOWARD ##### MAIN,38,38,38,00:00 - 00:00,,,HOWARD  & MAIN,,HOWARD  & MAIN,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1797,532,532 / 38,,HOWARD,MAIN,%HOWARD%,%MAIN%,Intoxicated Passenger,Other,1292493,0:00,6/4/2013,6/4/2013 20:21,6241,6/4/2013 21:30,6/4/2013 20:21,,,,20:21 - 21:30,R,69,69
"INSP KING T, SFFD ENGINE #28, MEDIC #60 TRANSPORTED TO DETOX.",6/4/2013,OPERATOR,19:23,Passenger Incident,0,Intoxicated Passenger,1,39,1,    OB,22,KI,POWELL ##### BEACH,47,47,47,00:00 - 00:00,,,POWELL & BEACH,,POWELL & BEACH,"PASSENGER INCIDENT - INTOXICATED PASSENGER  - ILL PASSENGER, RENDERING AID.",N,1,4401,749,749 / 47,,POWELL,BEACH,%POWELL%,%BEACH%,Intoxicated Passenger,Other,1292477,0:00,6/4/2013,6/4/2013 19:23,8025,6/4/2013 20:02,6/4/2013 19:23,,,,19:23 - 20:02,R,39,39
SFPD # 3113A REMOVED NO ARREST,6/2/2013,OPERATOR,7:55,Passenger Incident,0,Intoxicated Passenger,1,12,1,    IB,26,FL,48TH##### ORTEGA,71,71,71,00:00 - 00:00,,,48TH AVE & ORTEGA,,48TH AVE & ORTEGA,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3984,418,418 / 71,,48TH,ORTEGA,%48TH%,%ORTEGA%,Intoxicated Passenger,Other,1292012,0:00,6/2/2013,6/2/2013 7:55,6418,6/2/2013 8:09,6/2/2013 7:57,,,,07:57 - 08:09,R,12,12
"INSPECTOR A. ESCOBAR CLEARED, SFPD UNIT #3B1D - CAD #2646 RESPONDED, VIDEO*, NO ARREST",6/2/2013,OPERATOR,19:33,Passenger Incident,0,Intoxicated Passenger,1,56,1,    OB,34,FL,,71,71,71,00:00 - 00:00,,,,,,PASSENGER INCIDENT - INTOXICATED PASSENGER,Y,1,3662,498,498 / 71,FLYNN,,,,,Intoxicated Passenger,Other,1291754,0:00,6/2/2013,6/2/2013 19:33,6218,6/2/2013 20:29,6/2/2013 19:33,,,,19:33 - 20:29,R,56,56
SFPD UNIT #3E11A CLEARED,6/1/2013,OPERATOR,7:43,Passenger Incident,0,Intoxicated Passenger,1,18,1,    OB,22,WO,JACKSON ##### VAN NESS,27,27,27,00:00 - 00:00,,,JACKSON & VAN NESS,,JACKSON & VAN NESS,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,2339,13,13 / 27,,JACKSON,VAN NESS,%JACKSON%,%VAN%NESS%,Intoxicated Passenger,Other,1291875,0:00,6/1/2013,6/1/2013 7:43,8447,6/1/2013 8:01,6/1/2013 7:43,,,,07:43 - 08:01,R,18,18
"SFPD UNIT #3G5E RESP AND CLEARED, E.O.R.",6/1/2013,OPERATOR,1:33,Passenger Incident,0,Intoxicated Passenger,1,25,1,    IB,38,WO,48TH##### POINT LOBOS,38,38,38,00:00 - 00:00,,,48TH AVE & POINT LOBOS,,48TH AVE & POINT LOBOS,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,Y,1,4284,539,539 / 38,WOODS,48TH,POINT LOBOS,%48TH%,%POINT%LOBOS%,Intoxicated Passenger,Other,1291857,0:00,6/1/2013,6/1/2013 1:33,6270,6/1/2013 1:58,6/1/2013 1:33,,,,01:33 - 01:58,R,25,25
"OPERATOR CLEARED, SFPD RESPONDED, VIDEO*, NO ARREST",6/1/2013,OPERATOR,18:37,Passenger Incident,0,Intoxicated Passenger,1,25,1,    OB,24,FL,BEALE ##### HOWARD,71,71,71,00:00 - 00:00,,,BEALE & HOWARD,,BEALE & HOWARD,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3999,441,441 / 71,,BEALE,HOWARD,%BEALE%,%HOWARD%,Intoxicated Passenger,Other,1291956,0:00,6/1/2013,6/1/2013 18:37,6204,6/1/2013 19:02,6/1/2013 18:37,,,,18:37 - 19:02,R,25,25
"INSP. 4-T-72 CADELINA RESP., LSGP*, MEDICAL CAD#250,  ENGINE#17 RESP., MEDIC#17 RESP., TRANSPORTED TO SAINT LUKES HOSPITOL, CLAIMS UNIT#06-A-46*, D. PUGLISI*,                         VIDEO PULL REQUESTED",5/30/2013,OPERATOR,17:11,Passenger Incident,0,Intoxicated Passenger,1,17,1,    IB,85,GR,3RD ##### LA SALLE,K/T,KT,K/T,17:11 - 17:28,5/30/2013 17:28,5/30/2013 17:11,3RD. STREET & LA SALLE AVENUE,,3RD. STREET & LA SALLE AVENUE,PASSENGER INCIDENT - INTOXICATED PASSENGER  AND ILL.REQUESTING MEDICAL ATTENTION.,N,1,2517,110,110 / K/T,,3RD,LA SALLE,%3RD%,%LA%SALLE%,Intoxicated Passenger,Other,1291603,0:00,5/30/2013,5/30/2013 17:11,1528,5/30/2013 17:28,5/30/2013 17:11,,,,17:11 - 17:28,R,17,17
"OPERATOR CLEARED, INSP & SFPD* & CANCELLED.",5/30/2013,OPERATOR,2:34,Passenger Incident,0,Intoxicated Passenger,1,8,1,    OB,87,WO,CHURCH##### DUBOCE,N,N,N,00:00 - 00:00,,,CHURCH ST & DUBOCE AVE,,CHURCH ST & DUBOCE AVE,PASSENGER INCIDENT - INTOXICATED PASSENGER  SCREAMING,N,1,2024,266,266 / N,,CHURCH,DUBOCE,%CHURCH%,%DUBOCE%,Intoxicated Passenger,Other,1291439,0:00,5/30/2013,5/30/2013 2:34,8108,5/30/2013 2:42,5/30/2013 2:34,,,,02:34 - 02:42,R,8,8
"UNIT #6 INSP T. ALDANA, ENGINE #6, MEDIC #67 TRANSPORTED PASSENGER TO SFGH.",5/29/2013,OPERATOR,21:31,Passenger Incident,0,Intoxicated Passenger,1,31,1,    OB,18,PO,CASTRO ##### 19TH,24,24,24,00:00 - 00:00,,,CASTRO & 19TH STREET,,CASTRO & 19TH STREET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1535,453,453 / 24,,CASTRO,19TH,%CASTRO%,%19TH%,Intoxicated Passenger,Other,1291438,0:00,5/29/2013,5/29/2013 21:31,5431,5/30/2013 22:02,5/30/2013 21:31,,,,21:31 - 22:02,R,31,31
,5/28/2013,OPERATOR,23:37,Passenger Incident,0,Intoxicated Passenger,1,1,1,    IB,36,PO,CHURCH ##### MARKET,22,22,22,00:00 - 00:00,,,CHURCH & MARKET,,CHURCH & MARKET,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,1712,447,447 / 22,,CHURCH,MARKET,%CHURCH%,%MARKET%,Intoxicated Passenger,Other,1291206,0:00,5/28/2013,5/28/2013 23:37,5471,5/28/2013 23:38,5/28/2013 23:37,,,,23:37 - 23:38,R,1,1
SFPD RESP NO ARREST,5/28/2013,OPERATOR,23:08,Passenger Incident,0,Intoxicated Passenger,1,21,1,    OB,36,PO,JACKSON ##### WBSTER,24,24,24,00:00 - 00:00,,,JACKSON & WBSTER,,JACKSON & WBSTER,PASSENGER INCIDENT - INTOXICATED PASSENGER  ,N,1,3156,478,478 / 24,,JACKSON,WBSTER,,,Intoxicated Passenger,Other,1291228,0:00,5/28/2013,5/28/2013 23:08,5415,5/28/2013 23:29,5/28/2013 23:08,,,,23:08 - 23:29,R,21,21
